f_date,Rin,Rli,p,Ta,u,ea,t,year
20060618125959,875.99782,306.87,1008,25.495333,3.5969333,13.79148,169.54166,2006
20060618133000,874.4827,310.05224,1008,25.941613,3.053871,13.876749,169.5625,2006
20060618135959,661.29402,311.18702,1007.9655,25.915517,3.5377241,14.19042,169.58333,2006
20060618142959,746.62759,314.68032,1007.0333,26.635333,3.2946667,14.684572,169.60416,2006
20060618150000,624.49191,314.23172,1007,26.862258,2.8473226,14.648851,169.625,2006
20060618152959,641.66683,311.74018,1007,26.94931,4.1716207,13.56261,169.64583,2006
20060618155959,684.5985,309.48071,1006.9333,27.261,3.8168333,13.618286,169.66666,2006
20060618163000,578.86207,309.90688,1006,27.789355,3.1122903,14.03619,169.6875,2006
20060618165959,476.35932,310.24428,1006,27.518276,3.5105517,14.09659,169.70833,2006
20060618172959,343.30014,309.51772,1006,27.465333,2.6569333,14.00403,169.72916,2006
20060618180000,285.82752,309.81238,1005.0968,27.565484,2.5136774,14.003888,169.75,2006
20060618182959,163.99769,309.23426,1005,27.007931,2.3589655,13.823069,169.77083,2006
20060618185959,181.21466,313.1557,1005,27.216,0.90553333,14.314881,169.79166,2006
20060618193000,70.484339,303.65826,1005,26.444516,2.0096774,15.350458,169.8125,2006
20060618195959,24.794106,295.85712,1005,23.203103,2.7272414,17.09782,169.83333,2006
20060618202959,12.247434,295.51274,1005.4,22.234,2.4668667,17.514325,169.85416,2006
20060618210000,0,295.05557,1006,21.374194,1.6709355,17.740464,169.875,2006
20060618212959,0,304.85149,1006,20.593793,1.8245862,17.27983,169.89583,2006
20060618215959,0,299.69175,1006,20.316667,1.7105667,17.179147,169.91666,2006
20060618223000,0,298.41364,1006,20.012258,1.814871,16.795746,169.9375,2006
20060618225959,0,298.36501,1006,20.491724,1.6377241,16.374506,169.95833,2006
20060618232959,0,300.24979,1005.2,20.491333,1.5722,16.01496,169.97916,2006
20060619000000,0,305.08207,1005,20.380645,1.7535161,15.623094,170,2006
20060619002959,0,308.26321,1005,20.852414,1.6555172,15.50286,170.02083,2006
20060619005959,0,289.43046,1005,19.372333,2.0767333,16.326713,170.04166,2006
20060619013000,0,286.12632,1005,18.279677,2.8002258,16.14596,170.0625,2006
20060619015959,0,285.58045,1004.9655,18.547931,2.6105172,15.771104,170.08333,2006
20060619022959,0,285.87094,1004,18.768667,2.7209667,15.726151,170.10416,2006
20060619030000,0,285.65956,1004,18.345484,2.732,15.966074,170.125,2006
20060619032959,0,285.97179,1004,18.232759,2.881069,15.690361,170.14583,2006
20060619035959,0,282.56003,1004,18.149333,3.2101,15.564037,170.16666,2006
20060619043000,6.3056496,280.86785,1004,17.866774,3.551,16.166356,170.1875,2006
20060619045959,24.014271,280.04037,1003.7241,17.432069,3.6081034,16.870502,170.20833,2006
20060619052959,52.202479,281.10906,1003,17.817667,3.5970667,17.434934,170.22916,2006
20060619060000,102.47027,282.71044,1003,18.477742,2.9833548,17.811722,170.25,2006
20060619062959,99.262289,286.55642,1003,19.116897,3.4234483,18.279897,170.27083,2006
20060619065959,138.99504,292.18182,1003,20.690667,2.8954333,18.637799,170.29166,2006
20060619073000,221.08707,297.67517,1003,21.581935,3.6953871,19.333163,170.3125,2006
20060619075959,60.264814,314.84137,1003.2759,21.065862,4.3425172,19.562866,170.33333,2006
20060619082959,228.1484,319.39768,1003.9,21.101,3.876,19.514529,170.35416,2006
20060619090000,285.16918,327.36551,1004,22.209355,3.9753548,20.041385,170.375,2006
20060619092959,97.582411,343.59555,1004,22.12,4.0583103,20.203215,170.39583,2006
20060619095959,118.11958,334.42111,1004,21.563,3.0443,20.174867,170.41666,2006
20060619103000,283.23198,335.71601,1004.9032,20.731935,2.8757419,20.544927,170.4375,2006
20060619105959,372.98741,327.95727,1005,21.313793,3.5972759,19.30749,170.45833,2006
20060619112959,769.26234,314.07155,1005,21.697667,3.3305667,18.84841,170.47916,2006
20060619120000,645.77596,325.04202,1005,22.569355,4.1483548,13.490952,170.5,2006
20060619122959,741.99819,317.75378,1005,23.051034,3.5932414,13.085897,170.52083,2006
20060619125959,492.77278,332.66708,1005,22.255,3.8244667,11.862565,170.54166,2006
20060619133000,734.4968,309.76716,1005,23.092258,2.8527742,12.902056,170.5625,2006
20060619135959,393.56077,332.91908,1005.5172,22.549655,4.0527241,13.798954,170.58333,2006
20060619142959,383.49846,335.34547,1006,21.938667,3.8457,14.114987,170.60416,2006
20060619150000,727.20787,299.19165,1006,22.674516,3.9680323,13.212287,170.625,2006
20060619152959,722.30029,293.23926,1006,22.932759,3.9499655,13.696894,170.64583,2006
20060619155959,673.03701,297.01921,1006,23.044,3.1423333,14.340702,170.66666,2006
20060619163000,493.17145,296.31524,1006,22.369032,3.2659677,14.275173,170.6875,2006
20060619165959,463.68868,297.17417,1006,22.508621,2.9714828,14.710383,170.70833,2006
20060619172959,418.35219,285.57038,1006,22.389333,3.2032667,14.478231,170.72916,2006
20060619180000,357.23951,282.17141,1006,22.317742,2.5967419,14.649046,170.75,2006
20060619182959,270.3529,276.74867,1006,21.799655,2.9801034,13.518555,170.77083,2006
20060619185959,144.83503,273.06791,1006.3,21.147333,2.5669333,13.397074,170.79166,2006
20060619193000,30.404354,274.27409,1007,19.677419,2.194871,13.849083,170.8125,2006
20060619195959,29.700737,286.69952,1007,19.047931,2.1688621,14.11601,170.83333,2006
20060619202959,13.515423,298.96109,1007,18.721667,2.3147333,14.261342,170.85416,2006
20060619210000,5.9805142,293.79247,1007.7097,18.251935,2.0859677,14.352165,170.875,2006
20060619212959,0,289.50997,1008,17.825517,2.0218621,14.517871,170.89583,2006
20060619215959,0,274.10356,1008,17.390667,2.6625,14.603803,170.91666,2006
20060619223000,0,281.9214,1008,17.284516,2.5710323,14.621357,170.9375,2006
20060619225959,0,310.93651,1008,17.045517,2.3682759,14.655502,170.95833,2006
20060619232959,0,301.4173,1008,17.227667,2.8266667,14.456147,170.97916,2006
20060620000000,0,266.59377,1008,16.755484,1.9824194,14.300152,171,2006
20060620002959,0,265.67561,1008,16.061379,2.3443103,14.226135,171.02083,2006
20060620005959,0,265.84288,1008,15.771333,2.6032667,14.205964,171.04166,2006
20060620013000,0,261.6646,1008,15.346774,2.2716774,14.31711,171.0625,2006
20060620015959,0,265.54375,1008,15.126552,2.4474138,14.486139,171.08333,2006
20060620022959,0,278.42725,1008,15.169667,2.5668667,14.661026,171.10416,2006
20060620030000,0,298.99594,1008,15.263548,2.6709677,14.843121,171.125,2006
20060620032959,0,314.28186,1008,15.606552,2.6966552,15.001005,171.14583,2006
20060620035959,0,315.81891,1008,15.962,2.8902667,15.264514,171.16666,2006
20060620043000,2.6671061,312.31724,1008,16.286452,2.6492903,15.417749,171.1875,2006
20060620045959,9.1592901,312.05375,1008,16.367241,2.4387931,15.489557,171.20833,2006
20060620052959,30.633396,307.56654,1008,16.466667,2.5082667,15.451529,171.22916,2006
20060620060000,41.562025,312.05557,1008,16.724839,2.6253548,14.780081,171.25,2006
20060620062959,58.083902,314.40271,1008,16.876897,2.7729655,14.522834,171.27083,2006
20060620065959,105.29518,308.4366,1008,17.056,3.1695333,14.803936,171.29166,2006
20060620073000,175.62732,295.15276,1008,17.452903,4.0144839,14.433748,171.3125,2006
20060620075959,372.00419,284.83635,1008,17.993793,3.5186897,14.127641,171.33333,2006
20060620082959,569.59551,269.70047,1008,18.530667,4.8894,13.654746,171.35416,2006
20060620090000,608.91237,273.72063000000003,1008.0323,19.236452,4.3893871,13.585728,171.375,2006
20060620092959,630.73028,291.85531,1009,20.018621,3.768,13.687465,171.39583,2006
20060620095959,671.83268,282.52054,1008.9333,19.724333,4.746,13.285312,171.41666,2006
20060620103000,583.44521,312.42036,1009,20.145161,4.9521935,13.428114,171.4375,2006
20060620105959,509.72454,316.40984,1009,19.896207,4.0393103,13.637492,171.45833,2006
20060620112959,301.2693,320.59135,1009,19.3,4.8801,13.456324,171.47916,2006
20060620120000,554.40603,312.92302,1009,19.712581,4.9819677,13.589437,171.5,2006
20060620122959,393.38905,317.13678,1009,20.146552,4.4613793,13.628373,171.52083,2006
20060620125959,292.89763,323.78148,1009,19.926,3.2598333,13.698304,171.54166,2006
20060620133000,455.50148,316.27649,1009,20.394516,2.9568065,13.889098,171.5625,2006
20060620135959,670.51332,315.62868,1009,21.227241,2.5537241,13.900043,171.58333,2006
20060620142959,501.91261,312.33719,1009,21.030333,2.9079,13.928122,171.60416,2006
20060620150000,511.01579,310.00487,1009,20.959032,3.1423871,14.144774,171.625,2006
20060620152959,636.90566,298.46402,1008.8966,21.428966,3.5039655,13.949855,171.64583,2006
20060620155959,394.61728,307.46167,1008.1,21.085333,3.5538667,13.950556,171.66666,2006
20060620163000,459.18689,307.5343,1008,21.083871,3.9974839,13.952151,171.6875,2006
20060620165959,358.67359,299.84195,1008,20.984483,3.9271724,13.871815,171.70833,2006
20060620172959,440.50195,283.09079,1007.0667,21.393333,3.3218333,13.833197,171.72916,2006
20060620180000,315.13444,281.03032,1007,21.102258,3.5585161,13.747253,171.75,2006
