dayTveg	Tvplot1_top	a
253.653	21.9725	21.9725
253.66	23.4	
253.667	22.0625	
253.674	19.635	19.635
253.681	21.4575	
253.688	23.265	
253.694	22.9775	22.9775
253.701	22.8488	
253.708	22.82	
253.715	22.3588	22.3588
253.722	21.0925	
253.729	20.4863	
253.736	16.4888	16.4888
253.743	18.4613	
253.75	19.0488	
253.757	18.3963	18.3963
253.764	16.8713	
253.771	14.2213	
253.785	13.0575	13.0575
253.792	12.455	
253.799	11.8538	
253.806	11.3388	11.3388
253.813	11.035	
253.819	10.585	
253.826	10.16	10.16
253.833	9.8075	
253.84	9.54375	
253.847	9.52125	9.52125
253.854	9.42875	
253.861	9.13375	
253.868	8.93125	8.93125
253.875	8.67	
253.882	8.62875	
253.889	8.71125	8.71125
253.896	8.54875	
253.903	8.2025	
253.91	8.08	8.08
253.917	7.98625	
253.924	7.7825	
253.931	7.58875	7.58875
253.938	7.80625	
253.944	7.53875	
253.951	7.3625	7.3625
253.958	7.252	
253.965	7.03388	
253.972	6.94238	6.94238
253.979	6.74375	
253.986	6.76225	
253.993	6.60138	6.60138
254	6.598	
254.007	6.78038	
254.014	6.50475	6.50475
254.021	6.30838	
254.028	6.26088	
254.035	6.36825	6.36825
254.042	6.15425	
254.049	6.02913	
254.056	6.11725	6.11725
254.063	6.21088	
254.069	5.88763	
254.076	5.79588	5.79588
254.083	5.71362	
254.09	5.61513	
254.097	5.49463	5.49463
254.104	5.36488	
254.111	5.55787	
254.118	5.56313	5.56313
254.125	5.66088	
254.132	5.68775	
254.139	5.76	5.76
254.146	5.7825	
254.153	5.721	
254.16	5.485	5.485
254.167	5.524	
254.174	5.5345	
254.181	5.36488	5.36488
254.188	5.26763	
254.194	5.07888	
254.201	5.03613	5.03613
254.208	5.01413	
254.215	4.93325	
254.222	4.86588	4.86588
254.229	4.878	
254.236	4.88925	
254.243	4.88838	4.88838
254.25	4.594	
254.257	4.57113	
254.264	4.89875	4.89875
254.271	4.84763	
254.278	4.56662	
254.285	4.6325	4.6325
254.292	4.7435	
254.299	5.12025	
254.306	5.66775	5.66775
254.313	6.21375	
254.319	7.0485	
254.326	7.605	7.605
254.333	8.525	
254.34	9.31125	
254.347	10.0263	10.0263
254.354	10.755	
254.361	11.7175	
254.368	12.5863	12.5863
254.375	13.445	
254.382	14.47	
254.389	15.1725	15.1725
254.396	15.3025	
254.403	16.4963	
254.41	17.7675	17.7675
254.417	18.8138	
254.424	18.88	
254.431	20.3338	20.3338
254.438	20.8613	
254.444	21.1563	
254.451	21.81	21.81
254.458	21.8838	
254.465	22.995	
254.472	23.4738	23.4738
254.479	24.4263	
254.486	24.91	
254.493	24.9925	24.9925
254.5	24.975	
254.507	24.0575	
254.514	22.845	22.845
254.521	25.8075	
254.528	24.4463	
254.535	24.7688	24.7688
254.542	25.245	
254.549	25.3588	
254.556	25.55	25.55
254.563	23.7075	
254.569	25.2725	
254.576	25.2525	25.2525
254.583	25.0325	
254.59	25.4238	
254.597	25.8138	25.8138
254.604	24.6775	
254.611	24.9975	
254.618	24.8075	24.8075
254.625	24.4275	
254.632	23.8538	
254.639	23.8488	23.8488
254.646	23.29	
254.653	23.38	
254.66	23.3413	23.3413
254.667	23.5263	
254.674	23.345	
254.681	22.2388	22.2388
254.688	22.345	
254.694	22.4075	
254.701	22.6788	22.6788
254.708	22.3675	
254.715	21.9013	
254.722	21.2188	21.2188
254.729	20.6425	
254.736	20.245	
254.743	19.7575	19.7575
254.75	19.2913	
254.757	19	
254.764	18.5313	18.5313
254.771	17.8013	
254.778	17.3663	
254.785	16.7325	16.7325
254.792	15.9988	
254.799	15.725	
254.806	15.5575	15.5575
254.813	14.7013	
254.819	12.93	
254.826	13.2563	13.2563
254.833	14.4663	
254.84	14.6313	
254.847	14.9663	14.9663
254.854	15.1738	
254.861	15.53	
254.868	15.7375	15.7375
254.875	15.4375	
254.882	15.415	
254.889	15.6838	15.6838
254.896	15.6838	
254.903	15.6463	
254.91	15.9625	15.9625
254.917	16.1825	
254.924	16.3988	
254.931	16.565	16.565
254.938	16.5313	
254.944	16.5725	
254.951	16.2888	16.2888
254.958	16.2388	
254.965	16.3825	
254.972	16.27	16.27
