simulation_number,year,DoY,iPAR,iPARE,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,umol m-2 s-1,W m-2,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
40,0,0,8.009772e+01,1.754197e+01,2.279295e+00,1.160705e+00,5.630417e+01,4.837735e+01,7.926823e+00,2.566392e+01,2.183544e+01,3.828476e+00,1.598673e+01,1.391729e+01,2.069433e+00,1.243748e+01,1.070145e+01,1.736031e+00,5.136513e+00,4.377975e+00,7.585388e-01,4.054723e+00,3.530149e+00,5.245742e-01
41,0,0,8.152612e+02,1.786169e+02,9.887034e-01,1.551297e+00,7.149783e+02,5.881703e+02,1.268080e+02,6.171832e+02,5.068644e+02,1.103188e+02,9.073532e+01,7.229651e+01,1.843880e+01,1.565372e+02,1.280556e+02,2.848160e+01,1.284448e+02,1.051118e+02,2.333304e+01,2.260014e+01,1.798253e+01,4.617614e+00
42,0,0,4.279358e+02,9.374450e+01,5.787388e-01,2.602612e-01,2.368310e+02,2.073043e+02,2.952663e+01,1.499858e+02,1.317941e+02,1.819163e+01,4.203764e+01,3.627079e+01,5.766846e+00,5.184821e+01,4.526896e+01,6.579257e+00,3.083687e+01,2.703381e+01,3.803061e+00,1.059375e+01,9.132743e+00,1.461009e+00
43,0,0,2.731605e+02,5.984305e+01,8.997628e-01,4.302372e-01,1.752558e+02,1.517760e+02,2.347985e+01,1.462821e+02,1.268350e+02,1.944712e+01,2.820615e+01,2.408567e+01,4.120477e+00,3.840294e+01,3.317220e+01,5.230739e+00,3.030858e+01,2.622811e+01,4.080465e+00,7.039919e+00,6.006796e+00,1.033123e+00
44,0,0,8.440643e+02,1.848445e+02,1.381125e+00,2.738875e+00,7.449961e+02,5.951187e+02,1.498774e+02,3.589376e+02,2.819176e+02,7.702003e+01,2.228633e+02,1.798446e+02,4.301871e+01,1.638589e+02,1.308891e+02,3.296973e+01,7.093836e+01,5.582088e+01,1.511748e+01,5.647351e+01,4.553318e+01,1.094032e+01
45,0,0,1.471085e+03,3.222873e+02,1.135010e+00,3.934990e+00,1.385817e+03,1.130071e+03,2.557463e+02,1.070562e+03,8.690180e+02,2.015435e+02,2.141725e+02,1.688549e+02,4.531761e+01,3.035712e+02,2.460902e+02,5.748105e+01,2.213300e+02,1.791508e+02,4.217920e+01,5.366951e+01,4.225345e+01,1.141605e+01
46,0,0,1.108394e+03,2.426052e+02,1.039755e+00,2.460245e+00,9.211665e+02,6.828718e+02,2.382947e+02,3.119133e+02,2.231418e+02,8.877148e+01,3.269809e+02,2.536471e+02,7.333384e+01,2.039352e+02,1.519244e+02,5.201079e+01,6.080565e+01,4.365546e+01,1.715019e+01,8.292105e+01,6.428225e+01,1.863880e+01
47,0,0,8.828581e+02,1.934156e+02,1.912219e+00,3.697781e+00,8.197349e+02,7.007027e+02,1.190323e+02,6.362456e+02,5.402812e+02,9.596441e+01,4.650087e+01,3.889150e+01,7.609367e+00,1.795680e+02,1.529336e+02,2.663440e+01,1.336986e+02,1.133912e+02,2.030735e+01,1.166403e+01,9.750350e+00,1.913676e+00
48,0,0,1.018674e+03,2.231786e+02,1.640299e+00,1.969701e+00,8.868184e+02,7.546733e+02,1.321452e+02,8.158770e+02,6.878709e+02,1.280061e+02,1.079348e+02,8.988510e+01,1.804969e+01,1.943242e+02,1.647627e+02,2.956153e+01,1.699750e+02,1.432375e+02,2.673753e+01,2.678211e+01,2.229205e+01,4.490059e+00
49,0,0,1.089298e+03,2.385217e+02,1.266251e+00,5.203749e+00,9.922736e+02,7.628087e+02,2.294649e+02,2.312418e+02,1.738188e+02,5.742299e+01,2.606014e+02,2.062703e+02,5.433114e+01,2.183574e+02,1.683726e+02,4.998484e+01,4.545381e+01,3.427880e+01,1.117501e+01,6.636469e+01,5.248058e+01,1.388411e+01
