F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
3.082143e-01,688,1.358784e+00,744,2.867656e-01,8.980743e-01,8.422887e-02,2.716497e-01,1.954528e+00
2.677199e-01,688,1.011799e+00,744,2.502951e-01,6.705236e-01,6.404165e-02,1.917371e-01,1.163694e+00
NaN,NaN,9.482495e-02,742,2.335627e-02,6.006317e-02,6.233496e-03,2.526098e-02,1.901591e-01
NaN,NaN,1.054848e+00,743,1.691330e-01,6.710052e-01,6.220494e-02,2.255344e-01,9.611484e-01
NaN,NaN,2.012500e+00,741,4.457719e-01,1.173669e+00,1.278291e-01,4.470156e-01,1.559511e+00
4.029302e-01,688,1.664776e+00,743,3.771920e-01,1.054640e+00,1.015577e-01,3.325145e-01,1.405229e+00
NaN,NaN,1.624106e+00,742,3.100548e-01,1.005356e+00,1.013386e-01,3.284722e-01,1.783463e+00
5.113951e-01,689,1.976792e+00,743,4.621216e-01,1.241529e+00,1.251698e-01,3.852538e-01,2.042752e+00
5.224214e-01,689,1.840798e+00,742,4.728383e-01,1.149826e+00,1.190937e-01,3.327035e-01,1.668647e+00
3.397455e-01,689,1.965114e+00,744,3.057217e-01,1.265589e+00,1.139565e-01,4.189368e-01,1.946327e+00
NaN,NaN,5.283679e-01,743,8.497564e-02,3.287437e-01,3.135543e-02,9.360723e-02,3.581051e-01
NaN,NaN,1.005967e+00,742,2.378124e-01,6.203180e-01,6.416332e-02,2.460880e-01,1.241966e+00
2.886670e-01,688,1.071056e+00,743,2.701522e-01,6.932446e-01,6.786576e-02,2.215323e-01,1.322275e+00
5.805050e-01,688,6.499541e-01,740,5.362633e-01,3.557237e-01,5.437142e-02,1.656325e-01,4.683045e-01
NaN,NaN,1.016971e+00,742,2.223574e-01,6.102679e-01,6.416234e-02,1.999798e-01,9.065719e-01
4.314748e-01,689,2.042818e+00,743,3.906191e-01,1.303318e+00,1.251029e-01,4.178835e-01,2.173892e+00
2.110975e-01,688,8.040565e-01,743,1.955651e-01,5.035947e-01,5.057047e-02,1.589172e-01,8.074105e-01
2.346596e-01,688,9.906901e-01,744,2.160433e-01,6.475232e-01,6.064028e-02,2.586262e-01,1.343024e+00
3.692438e-02,688,1.432030e-01,743,3.362091e-02,8.994377e-02,8.976054e-03,3.703925e-02,1.788117e-01
NaN,NaN,1.644872e+00,742,4.275197e-01,9.890176e-01,1.085708e-01,3.652543e-01,1.807549e+00
8.208447e-02,687,9.559703e-02,741,7.754748e-02,5.631838e-02,7.949618e-03,2.542520e-02,1.090399e-01
NaN,NaN,9.715505e-01,743,9.585826e-02,6.135313e-01,5.556315e-02,1.892657e-01,7.374136e-01
5.059818e-01,688,1.927916e+00,743,4.706674e-01,1.243078e+00,1.221305e-01,3.949201e-01,2.607054e+00
8.721875e-02,688,3.833637e-01,743,7.955177e-02,2.505723e-01,2.376672e-02,8.982586e-02,5.702809e-01
NaN,NaN,5.645471e-01,741,2.031332e-01,3.308784e-01,3.946348e-02,1.340598e-01,5.287426e-01
9.705312e-02,691,1.990767e-01,741,8.161902e-02,1.137139e-01,1.426274e-02,4.493481e-02,1.507880e-01
1.863032e-01,688,6.458383e-01,743,1.738527e-01,4.155923e-01,4.108002e-02,1.379894e-01,7.862231e-01
