simulation_number,nu_iterations,year,DoY,Rnctot,lEctot,Hctot,Actot,Tcave,Rnstot,lEstot,Hstot,Gtot,Tsave,Rntot,lEtot,Htot
#,,,,W m-2,W m-2,W m-2,umol m-2 s-1,C,W m-2,W m-2,W m-2,W m-2,C,W m-2, W m-2,W m-2
55,5,0,0,2.051016e+02,6.271511e+01,1.406788e+02,7.082706e+00,2.139196e+01,2.684531e+01,1.284897e+01,3.800422e+00,9.395860e+00,2.700334e+01,2.319469e+02,7.556408e+01,1.444792e+02
56,5,0,0,2.193535e+02,1.557443e+02,6.329740e+01,8.377903e+00,3.132775e+01,4.608011e+01,2.573812e+01,4.129104e+00,1.612804e+01,3.518373e+01,2.654336e+02,1.814824e+02,6.742651e+01
57,15,0,0,1.182778e+02,1.314768e+02,-1.383384e+01,9.066968e+00,3.346920e+01,7.808973e+01,4.552687e+01,4.941781e+00,2.733140e+01,3.600652e+01,1.963675e+02,1.770036e+02,-8.892062e+00
58,8,0,0,1.085436e+01,2.784486e+01,-1.702459e+01,6.724496e+00,2.220666e+01,5.660758e+01,3.001894e+01,6.430918e+00,1.981265e+01,2.586662e+01,6.746194e+01,5.786380e+01,-1.059367e+01
59,34,0,0,3.487791e+00,8.586383e+00,-5.444130e+00,2.749937e+00,2.368446e+01,2.940497e+01,1.697279e+01,1.818718e+00,1.029174e+01,2.870343e+01,3.289276e+01,2.555917e+01,-3.625412e+00
60,5,0,0,1.828068e+02,9.721775e+01,8.508900e+01,1.137260e+01,2.588895e+01,8.062196e+01,3.935203e+01,1.300112e+01,2.821769e+01,2.869365e+01,2.634288e+02,1.365698e+02,9.809012e+01
61,5,0,0,1.363126e+02,9.510449e+00,1.260828e+02,-8.597431e-01,1.664008e+01,8.670175e+01,3.283067e+01,2.324835e+01,3.034561e+01,2.128084e+01,2.230144e+02,4.234112e+01,1.493312e+02
62,5,0,0,3.901773e+01,3.644710e+01,2.502894e+00,9.118780e+00,1.826411e+01,3.137460e+01,1.601803e+01,4.301568e+00,1.098111e+01,2.046458e+01,7.039233e+01,5.246513e+01,6.804462e+00
63,5,0,0,9.383648e+01,8.931315e+01,4.245607e+00,1.158625e+01,2.000750e+01,4.766160e+01,2.321433e+01,7.600536e+00,1.668156e+01,2.283977e+01,1.414981e+02,1.125275e+02,1.184614e+01
64,5,0,0,1.221893e+02,2.361345e+01,9.830352e+01,4.003575e+00,2.005963e+01,1.162085e+02,3.964876e+01,3.556477e+01,4.067298e+01,2.257588e+01,2.383979e+02,6.326221e+01,1.338683e+02
65,18,0,0,1.880983e+00,1.794190e-02,-7.333428e-03,-6.023996e-03,2.401238e+01,1.407343e+00,2.582943e-02,3.691657e-03,4.925701e-01,3.301615e+01,3.288326e+00,4.377133e-02,-3.641772e-03
66,6,0,0,2.994942e+02,7.943301e+01,2.208243e+02,1.214104e+01,1.733979e+01,4.467184e+01,1.927984e+01,9.754588e+00,1.563515e+01,2.057895e+01,3.441660e+02,9.871285e+01,2.305789e+02
67,7,0,0,3.681392e+02,1.175260e+02,2.504608e+02,1.493851e+01,1.104752e+01,6.104028e+01,2.300096e+01,1.669815e+01,2.136410e+01,1.742881e+01,4.291795e+02,1.405270e+02,2.671589e+02
68,7,0,0,3.301070e+02,2.315729e+02,9.925925e+01,2.296747e+01,2.112113e+01,6.833786e+01,3.159684e+01,1.286135e+01,2.391825e+01,2.491567e+01,3.984449e+02,2.631697e+02,1.121206e+02
69,13,0,0,2.408334e+00,1.277707e+01,-9.881977e+00,-4.393809e+00,1.959568e+01,1.593548e+01,8.828713e+00,2.133277e+00,5.577418e+00,2.481072e+01,1.834381e+01,2.160578e+01,-7.748700e+00
70,40,0,0,7.756187e+00,1.225463e+01,-2.259188e+00,-1.851663e+00,3.078529e+01,5.342973e+00,3.800088e+00,4.981604e-01,1.870041e+00,4.374774e+01,1.309916e+01,1.605472e+01,-1.761027e+00
71,7,0,0,2.600161e+02,4.370463e+01,2.155908e+02,8.565495e+00,1.629982e+01,1.958465e+02,5.291846e+01,7.426411e+01,6.854629e+01,2.174823e+01,4.558626e+02,9.662309e+01,2.898549e+02
72,6,0,0,1.474788e+02,8.941549e+01,5.712574e+01,1.466403e+01,1.969664e+01,1.328485e+01,6.386074e+00,1.776041e+00,4.649699e+00,2.556783e+01,1.607637e+02,9.580156e+01,5.890178e+01
73,5,0,0,6.225107e+01,4.229781e+01,1.990824e+01,3.454551e+00,3.538052e+01,3.488094e+02,1.295872e+02,9.721370e+01,1.220833e+02,4.101707e+01,4.110604e+02,1.718850e+02,1.171219e+02
74,7,0,0,2.600156e+02,2.752546e+02,-1.472644e+01,1.754240e+01,3.440216e+01,1.524429e+02,8.365839e+01,1.535599e+01,5.335501e+01,4.188801e+01,4.124584e+02,3.589130e+02,6.295474e-01
75,6,0,0,1.796725e+02,1.037690e+02,7.603942e+01,2.058812e+01,1.435976e+01,2.880014e+01,1.273404e+01,5.893738e+00,1.008005e+01,1.900585e+01,2.084727e+02,1.165030e+02,8.193315e+01
76,10,0,0,4.972604e+01,5.023659e+01,1.015312e+00,2.006533e+00,2.902591e+01,7.316309e+00,4.568227e+00,7.036276e-01,2.560708e+00,3.700799e+01,5.704235e+01,5.480481e+01,1.718940e+00
77,4,0,0,1.095389e+02,8.632374e+01,2.314250e+01,1.829624e+01,1.672853e+01,4.904985e+01,2.194560e+01,9.940714e+00,1.716745e+01,2.144141e+01,1.585888e+02,1.082693e+02,3.308321e+01
78,6,0,0,2.180934e+02,1.903080e+02,2.791324e+01,2.265142e+01,2.345490e+01,1.471777e+02,6.122229e+01,3.446962e+01,5.151220e+01,2.954925e+01,3.652711e+02,2.515303e+02,6.238286e+01
79,8,0,0,2.048823e+02,6.702053e+01,1.379031e+02,1.038720e+01,1.064653e+01,2.811200e+02,4.378892e+01,1.389395e+02,9.839199e+01,1.699100e+01,4.860023e+02,1.108094e+02,2.768426e+02
80,6,0,0,3.162209e+02,1.813742e+02,1.346648e+02,1.977286e+01,2.852866e+01,6.476630e+01,3.399718e+01,8.089659e+00,2.266821e+01,3.189872e+01,3.809872e+02,2.153713e+02,1.427545e+02
81,6,0,0,3.545105e+02,2.173953e+02,1.364653e+02,2.594727e+01,2.371856e+01,2.265471e+01,1.149567e+01,2.885877e+00,7.929147e+00,2.847241e+01,3.771652e+02,2.288909e+02,1.393512e+02
82,8,0,0,3.262648e+02,2.048546e+02,1.209348e+02,1.079220e+01,3.435177e+01,1.855334e+01,1.040025e+01,1.440124e+00,6.493669e+00,4.036466e+01,3.448182e+02,2.152549e+02,1.223749e+02
83,12,0,0,2.223664e+02,2.427076e+02,-1.966576e+01,1.741932e+01,3.333703e+01,1.552205e+02,8.266112e+01,1.846986e+01,5.432716e+01,3.983007e+01,3.775869e+02,3.253687e+02,-1.195899e+00
84,7,0,0,7.919674e+01,5.278541e+01,2.569507e+01,-5.963219e-01,2.357679e+01,1.498060e+01,7.810260e+00,1.716539e+00,5.243211e+00,3.107886e+01,9.417735e+01,6.059567e+01,2.741161e+01
85,6,0,0,2.018999e+02,1.604832e+02,4.162215e+01,2.303527e+01,1.845679e+01,1.906922e+02,6.436934e+01,5.966864e+01,6.674226e+01,2.678714e+01,3.925921e+02,2.248526e+02,1.012908e+02
86,7,0,0,2.071159e+02,1.529578e+01,1.912632e+02,2.516538e+00,1.371736e+01,8.203677e+01,2.584092e+01,2.748809e+01,2.871287e+01,1.598072e+01,2.891527e+02,4.113670e+01,2.187513e+02
87,6,0,0,2.658030e+02,7.348342e+01,1.923751e+02,1.877166e+00,3.518753e+01,7.516454e+01,4.171043e+01,7.153910e+00,2.630759e+01,3.910439e+01,3.409675e+02,1.151939e+02,1.995290e+02
88,6,0,0,2.733770e+02,9.001707e+01,1.829419e+02,1.591729e+01,1.157265e+01,1.971129e+01,8.099684e+00,4.319163e+00,6.898952e+00,1.804849e+01,2.930883e+02,9.811676e+01,1.872611e+02
89,6,0,0,3.365949e+02,3.225141e+02,1.427027e+01,2.949779e+01,2.913862e+01,1.323541e+02,6.697700e+01,1.900934e+01,4.632395e+01,3.500984e+01,4.689490e+02,3.894911e+02,3.327961e+01
90,5,0,0,1.343536e+02,6.375484e+01,6.997216e+01,1.195662e+01,9.512901e+00,6.056089e+01,1.809595e+01,2.103198e+01,2.119631e+01,1.215599e+01,1.949145e+02,8.185079e+01,9.100413e+01
91,5,0,0,5.793841e+01,2.377191e+01,3.409597e+01,7.478674e-01,3.223764e+01,1.281419e+02,6.205368e+01,2.117360e+01,4.484965e+01,3.365537e+01,1.860803e+02,8.582560e+01,5.526957e+01
92,16,0,0,-1.729277e+00,1.745847e+00,-3.715797e+00,1.845973e+00,1.334889e+01,1.473980e+01,8.726808e+00,7.930547e-01,5.158932e+00,1.767537e+01,1.301053e+01,1.047266e+01,-2.922742e+00
93,5,0,0,2.892379e+02,1.543751e+02,1.342492e+02,2.164806e+01,2.754063e+01,2.071239e+02,8.985583e+01,4.453980e+01,7.249338e+01,3.428221e+01,4.963619e+02,2.442310e+02,1.787890e+02
94,5,0,0,6.877235e+01,1.271808e+01,5.585669e+01,1.230148e+00,1.731639e+01,8.040050e+01,2.919572e+01,2.294331e+01,2.814018e+01,1.970303e+01,1.491729e+02,4.191380e+01,7.880000e+01
95,7,0,0,7.438071e+01,7.359350e+01,1.084858e+00,4.003217e+00,2.722766e+01,2.600746e+01,1.469091e+01,2.506746e+00,9.102613e+00,3.229639e+01,1.003882e+02,8.828441e+01,3.591604e+00
96,7,0,0,5.718508e+02,8.377818e+01,4.870278e+02,1.063129e+01,1.522863e+01,1.507399e+01,6.281583e+00,3.091278e+00,5.275897e+00,1.962847e+01,5.869248e+02,9.005976e+01,4.901191e+02
97,19,0,0,2.535211e+01,3.601546e+01,-9.993104e+00,5.269807e+00,3.093095e+01,2.592720e+01,1.547716e+01,1.798652e+00,9.074520e+00,3.589223e+01,5.127932e+01,5.149262e+01,-8.194452e+00
98,5,0,0,1.521925e+02,2.556012e+01,1.257159e+02,1.030041e+01,8.136753e+00,3.970191e+01,1.334118e+01,1.227987e+01,1.389567e+01,1.158867e+01,1.918944e+02,3.890130e+01,1.379958e+02
99,16,0,0,-7.290170e-01,-4.289798e-03,-3.990789e-03,1.444061e+00,1.992729e+01,-8.068771e-01,2.151536e-03,-4.671804e-04,-2.824070e-01,2.840396e+01,-1.535894e+00,-2.138262e-03,-4.457970e-03
100,5,0,0,4.205738e+01,4.154528e+01,4.485726e-01,6.955752e+00,2.831311e+01,8.184538e+01,4.304088e+01,1.002210e+01,2.864588e+01,2.981229e+01,1.239028e+02,8.458616e+01,1.047067e+01
